Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m²),PAR (µmol/m²/s),max. PAR (µmol/m²/s),Tlog (degC),CO2 (ppm)
01.07.2022 00:10:00,984.33,22.42,296.91,19.72,84.7,27.17,23.01,4.16,14.67,23.38,1149.88,1.18,1.63,219.9,0,0,0,0,0,31.74,447.2
01.07.2022 00:20:00,984.36,22.02,296.5,19.72,86.8,26.51,23.01,3.5,14.67,23.38,1151.47,1.02,1.58,222.4,0,0,0,0,0,31.63,445.6
01.07.2022 00:30:00,984.35,21.77,296.25,19.68,87.9,26.11,22.95,3.16,14.63,23.32,1152.47,0.99,1.64,191,0,0,0,0,0,31.52,443.1
01.07.2022 00:40:00,984.27,22,296.49,19.47,85.6,26.48,22.67,3.81,14.45,23.03,1151.6,1.45,2.4,211.8,0,0,0,0,0,31.44,443.4
01.07.2022 00:50:00,984.36,22.23,296.71,19.4,84,26.86,22.56,4.3,14.38,22.92,1150.86,1.66,2.59,211.9,0,0,0,0,0,31.37,444.4
01.07.2022 01:00:00,984.55,22.27,296.74,19.28,83.2,26.92,22.4,4.52,14.27,22.75,1151,1.7,3.13,223,0,0,0,0,0,31.32,444.3
01.07.2022 01:10:00,984.69,22.39,296.85,19.03,81.3,27.12,22.05,5.07,14.05,22.39,1150.85,2.1,3.27,209.5,0,0,0,0,0,31.28,441.6
01.07.2022 01:20:00,984.62,22.49,296.95,19.05,80.9,27.28,22.07,5.21,14.06,22.42,1150.37,2.03,3.38,198.9,0,0,0,0,0,31.26,442.9
01.07.2022 01:30:00,984.47,22.25,296.73,18.85,81.1,26.89,21.81,5.08,13.89,22.15,1151.25,1.6,2.31,210.5,0,0,0,0,0,31.24,441
01.07.2022 01:40:00,984.39,22.3,296.78,18.63,79.72,26.97,21.5,5.47,13.7,21.84,1151.09,2.32,3.12,222.1,0,0,0,0,0,31.2,439.6
01.07.2022 01:50:00,984.45,22.27,296.75,18.42,78.86,26.92,21.23,5.69,13.52,21.56,1151.4,3.07,3.86,234.3,0,0,0,0,0,31.16,441.3
01.07.2022 02:00:00,984.59,22.16,296.62,18.19,78.24,26.74,20.92,5.82,13.32,21.25,1152.13,3.24,4.02,242.8,0,0,0,0,0,31.1,442.4
01.07.2022 02:10:00,984.87,21.96,296.4,18.19,79.17,26.42,20.91,5.5,13.32,21.24,1153.25,2.34,3.25,244.2,0,0,0,0,0,31.02,445.8
01.07.2022 02:20:00,985.13,21.49,295.91,18.13,81.2,25.67,20.84,4.83,13.27,21.16,1155.43,2.18,3.22,243.6,0,0,0,0,0,30.95,451.8
01.07.2022 02:30:00,985.19,21.65,296.06,17.44,76.98,25.92,19.95,5.97,12.7,20.25,1155.27,1.86,3.8,268.4,0,0,0,0,0,30.87,443.8
01.07.2022 02:40:00,985.16,22.22,296.64,16.63,70.65,26.84,18.96,7.88,12.06,19.25,1153.45,1.9,3.75,255.6,0,0,0,0,0,30.8,437.7
01.07.2022 02:50:00,985.35,22.05,296.45,16.67,71.55,26.56,19.01,7.56,12.09,19.29,1154.32,1.36,2.26,243.9,0,0,0,0,0,30.76,440.6
01.07.2022 03:00:00,985.56,21.72,296.1,16.57,72.52,26.03,18.88,7.15,12,19.16,1155.91,0.86,1.68,249.4,0,0,0,0,0,30.75,441.2
01.07.2022 03:10:00,985.71,21.59,295.96,16.49,72.74,25.83,18.79,7.04,11.94,19.06,1156.64,1.62,4.65,199.8,0,0,0,0,0,30.75,442.4
01.07.2022 03:20:00,986.04,21.45,295.79,16.44,73.15,25.61,18.73,6.88,11.9,19,1157.6,1.05,1.96,343.6,0,300,0,0,0,30.74,442.6
01.07.2022 03:30:00,986.24,20.59,294.91,16.53,77.57,24.29,18.84,5.45,11.97,19.1,1161.18,1.69,2.52,269.6,0.1,210,0,0,0,30.71,435.9
01.07.2022 03:40:00,985.93,19.83,294.17,16.57,81.5,23.17,18.89,4.29,12,19.16,1163.8,2.47,5.76,319.1,0.1,270,0,0,0,30.6,432.8
01.07.2022 03:50:00,985.71,19.14,293.5,16.93,87,22.2,19.32,2.89,12.28,19.6,1166.1,1.68,3.74,15.87,0.2,550,0,0,1.97,30.42,434.4
01.07.2022 04:00:00,985.73,18.74,293.09,17.01,89.7,21.65,19.42,2.23,12.35,19.7,1167.67,1.03,3.33,72.11,0,0,0.23,3.33,4.44,30.16,436.4
01.07.2022 04:10:00,986.17,18.68,292.99,17.02,90.1,21.57,19.44,2.14,12.35,19.71,1168.43,0.82,2.17,171.1,0,90,1.71,5.94,8.51,29.87,437.5
01.07.2022 04:20:00,986.56,18.75,293.03,16.97,89.4,21.67,19.37,2.3,12.3,19.63,1168.64,1.56,3.05,190.9,0,0,3.97,11.42,14.67,29.63,437.7
01.07.2022 04:30:00,986.6,18.67,292.95,16.8,88.9,21.56,19.17,2.39,12.17,19.43,1169.1,1.73,4.25,231.4,0,0,7.08,19.59,24.42,29.45,437.4
01.07.2022 04:40:00,986.64,18.33,292.6,16.5,89.1,21.11,18.8,2.3,11.94,19.06,1170.68,1.69,4.23,262.6,0,0,12.69,34.49,45.66,29.3,435.6
01.07.2022 04:50:00,986.88,18.05,292.3,16.26,89.3,20.74,18.52,2.22,11.75,18.76,1172.22,1.63,4.02,244.8,0,0,20.45,53.21,59.12,29.15,434.2
01.07.2022 05:00:00,987.21,17.81,292.03,16.15,90,20.43,18.38,2.04,11.66,18.62,1173.64,1.63,3.89,258.8,0,0,27.53,68.85,81.88,28.99,433.4
01.07.2022 05:10:00,987.47,17.73,291.93,15.98,89.5,20.32,18.19,2.13,11.54,18.42,1174.37,1.93,4.79,276.3,0,0,47.94,100.63,130.87,28.83,432.3
01.07.2022 05:20:00,987.75,17.73,291.91,15.98,89.5,20.32,18.19,2.13,11.53,18.42,1174.7,1.85,5,250.9,0,0,71.48,134.07,143.61,28.67,432.5
01.07.2022 05:30:00,987.92,17.79,291.95,15.85,88.4,20.4,18.03,2.37,11.43,18.25,1174.73,1.95,5.25,259.9,0,0,69.22,137.45,153.46,28.55,432.1
01.07.2022 05:40:00,988.19,17.74,291.88,15.8,88.4,20.34,17.98,2.36,11.39,18.19,1175.28,2,4.48,242.5,0,0,91.78,181.92,205.34,28.48,431.9
01.07.2022 05:50:00,988.31,17.71,291.84,15.59,87.4,20.3,17.74,2.56,11.24,17.95,1175.66,2.36,4.81,251.6,0,0,87.01,174.88,198.88,28.44,431.6
01.07.2022 06:00:00,988.2,17.63,291.77,15.41,86.8,20.2,17.53,2.67,11.11,17.74,1175.94,1.63,4.93,254.7,0,0,100.12,204.15,257.48,28.43,431.8
01.07.2022 06:10:00,987.97,17.66,291.82,15.25,85.8,20.23,17.36,2.87,11,17.57,1175.62,1.94,4.1,252.6,0,0,162.59,330.04,407.13,28.43,431.2
01.07.2022 06:20:00,987.94,17.76,291.92,15.15,84.7,20.36,17.25,3.12,10.93,17.46,1175.24,1.78,4.21,248.9,0,0,155.03,320.45,376.52,28.45,429.4
01.07.2022 06:30:00,988.33,17.73,291.86,15.07,84.4,20.32,17.15,3.17,10.87,17.36,1175.87,1.76,4.58,239.7,0,0,101.3,216.96,287.26,28.51,428.7
01.07.2022 06:40:00,988.51,17.51,291.62,14.78,84,20.04,16.84,3.21,10.66,17.03,1177.12,2.14,4.43,261,0,0,78.4,168.67,181.18,28.57,429.1
